IdentificacaoParlamentar/CodigoParlamentar;IdentificacaoParlamentar/NomeParlamentar;IdentificacaoParlamentar/NomeCompletoParlamentar;IdentificacaoParlamentar/SexoParlamentar;IdentificacaoParlamentar/FormaTratamento;IdentificacaoParlamentar/UrlFotoParlamentar;IdentificacaoParlamentar/UrlPaginaParlamentar;IdentificacaoParlamentar/EmailParlamentar;IdentificacaoParlamentar/SiglaPartidoParlamentar;IdentificacaoParlamentar/UfParlamentar;Mandato/CodigoMandato;Mandato/UfParlamentar;Mandato/PrimeiraLegislaturaDoMandato/NumeroLegislatura;Mandato/PrimeiraLegislaturaDoMandato/DataInicio;Mandato/PrimeiraLegislaturaDoMandato/DataFim;Mandato/SegundaLegislaturaDoMandato/NumeroLegislatura;Mandato/SegundaLegislaturaDoMandato/DataInicio;Mandato/SegundaLegislaturaDoMandato/DataFim;Mandato/DescricaoParticipacao;Mandato/Suplentes/Suplente/0/DescricaoParticipacao;Mandato/Suplentes/Suplente/0/CodigoParlamentar;Mandato/Suplentes/Suplente/0/NomeParlamentar;Mandato/Suplentes/Suplente/1/DescricaoParticipacao;Mandato/Suplentes/Suplente/1/CodigoParlamentar;Mandato/Suplentes/Suplente/1/NomeParlamentar;Mandato/Exercicios/Exercicio/0/CodigoExercicio;Mandato/Exercicios/Exercicio/0/DataInicio;Mandato/Exercicios/Exercicio/1/CodigoExercicio;Mandato/Exercicios/Exercicio/1/DataInicio;Mandato/Exercicios/Exercicio/1/DataFim;Mandato/Exercicios/Exercicio/1/SiglaCausaAfastamento;Mandato/Exercicios/Exercicio/1/DescricaoCausaAfastamento;UrlGlossario;Mandato/Titular/DescricaoParticipacao;Mandato/Titular/CodigoParlamentar;Mandato/Titular/NomeParlamentar;Mandato/Exercicios/Exercicio/2/CodigoExercicio;Mandato/Exercicios/Exercicio/2/DataInicio;Mandato/Exercicios/Exercicio/2/DataFim;Mandato/Exercicios/Exercicio/2/SiglaCausaAfastamento;Mandato/Exercicios/Exercicio/2/DescricaoCausaAfastamento;Mandato/Exercicios/Exercicio/0/DataLeitura;Mandato/Exercicios/Exercicio/1/DataLeitura;Mandato/Exercicios/Exercicio/3/CodigoExercicio;Mandato/Exercicios/Exercicio/3/DataInicio;Mandato/Exercicios/Exercicio/3/DataFim;Mandato/Exercicios/Exercicio/3/SiglaCausaAfastamento;Mandato/Exercicios/Exercicio/3/DescricaoCausaAfastamento;Mandato/Exercicios/Exercicio/4/CodigoExercicio;Mandato/Exercicios/Exercicio/4/DataInicio;Mandato/Exercicios/Exercicio/4/DataFim;Mandato/Exercicios/Exercicio/4/SiglaCausaAfastamento;Mandato/Exercicios/Exercicio/4/DescricaoCausaAfastamento;Mandato/Exercicios/Exercicio/2/DataLeitura
4981;Acir Gurgacz;Acir Marcos Gurgacz;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981;acir@senador.leg.br;PDT;RO;515;RO;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5615;Gilberto Piselo;2º Suplente;5617;Pastor Valadares;2810;2017-01-14;2754;2015-02-01;2016-09-08;LSP;Licença Saúde-Particular;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5140;Airton Sandoval;Airton Sandoval Santana;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5140.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5140;sen.airtonsandoval@senado.leg.br;PMDB;SP;485;SP;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;5142;Marta Maria Freire da Costa;;;;2827;2017-03-09;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;Titular;846;Aloysio Nunes Ferreira;;;;;;;;;;;;;;;;;;
945;Alvaro Dias;Alvaro Fernandes Dias;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/945;alvarodias@senador.leg.br;PODE;PR;514;PR;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5609;Joel Malucelli;2º Suplente;5611;Severino Araujo;2755;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
4988;Ana Amélia;Ana Amélia de Lemos;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4988.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4988;ana.amelia@senadora.leg.br;PP;RS;462;RS;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5090;José Alberto Wenzel;2º Suplente;5094;Márcio Bergonsi Turra;2581;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5529;Antonio Anastasia;Antonio Augusto Junho Anastasia;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5529.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5529;antonio.anastasia@senador.leg.br;PSDB;MG;495;MG;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;4610;Alexandre Silveira;2º Suplente;415;Lael Varella;2759;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
715;Armando Monteiro;Armando de Queiroz Monteiro Neto;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador715.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/715;armando.monteiro@senador.leg.br;PTB;PE;443;PE;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5178;Douglas Cintra;2º Suplente;5180;José Rodrigues da Silva;2777;2016-05-09;2713;2014-11-15;2015-01-01;AFO;Afastamento do exercício;http://legis.senado.leg.br/dadosabertos/senador/;;;;2584;2011-02-01;2014-07-16;LSP;Licença Saúde-Particular;;;;;;;;;;;;;
5164;Ataídes Oliveira;Ataídes de Oliveira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5164.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5164;ataides.oliveira@senador.leg.br;PSDB;TO;468;TO;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;918;Pastor Amarildo;;;;2691;2013-12-23;2686;2013-02-08;2013-08-07;RET;Retorno do titular;http://legis.senado.leg.br/dadosabertos/senador/;Titular;916;João Ribeiro;2637;2011-05-03;2011-08-31;RET;Retorno do titular;2013-12-23;2013-02-08;;;;;;;;;;;
391;Aécio Neves;Aécio Neves da Cunha;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador391.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/391;aecio.neves@senador.leg.br;PSDB;MG;435;MG;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5148;Elmiro Alves do Nascimento;2º Suplente;438;Tilden Santiago;2834;2017-10-17;2833;2017-09-29;2017-10-16;DJ;Afastamento por decisão judicial;http://legis.senado.leg.br/dadosabertos/senador/;;;;2831;2017-06-30;2017-09-28;DJ;Afastamento por decisão judicial;;;2830;2017-05-19;2017-06-29;DJ;Afastamento por decisão judicial;2579;2011-02-01;2017-05-18;DJ;Afastamento por decisão judicial;
3823;Benedito de Lira;Benedito de Lira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3823.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3823;benedito.lira@senador.leg.br;PP;AL;457;AL;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5030;José Givago Raposo Tenório;2º Suplente;5032;Antônio Milton Pessoa Falcão Filho;2585;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5108;Cidinho Santos;José Aparecido dos Santos;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5108.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5108;cidinho.santos@senador.leg.br;PR;MT;456;MT;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;5110;Manoel Antônio Rodrigues Palma;;;;2786;2016-05-15;2694;2014-03-13;2014-07-17;RET;Retorno do titular;http://legis.senado.leg.br/dadosabertos/senador/;Titular;111;Blairo Maggi;2668;2012-08-09;2012-12-16;RET;Retorno do titular;2016-05-16;2014-03-11;;;;;;;;;;;2012-08-09
