cod_munic;ranking2015;no_munic;capital;cod_uf;UF;IOEB17;IOE Insumos17;IOE Resultados17;val_ideb_anos_iniciais_ys15;val_ideb_anos_finais_ys15;val_tx_matricula_em_ys15;val_docente_sup_completo_ys15;val_media_horas_aula_ys15;val_diretor_tres_anos_ys15;val_diretor_seis_anos_ys15;val_taxa_atendimento_ys15;ranking2013;IOEB15;IOE Insumos15;IOE Resultados15;val_ideb_anos_iniciais_ys13;val_ideb_anos_finais_ys13;val_tx_matricula_em_ys13;val_docente_sup_completo_ys13;val_media_horas_aula_ys13;val_diretor_tres_anos_ys13;val_diretor_seis_anos_ys13;val_taxa_atendimento_ys13
2312908;1;Sobral;;23;CE;6,2;0,9;5,3;8,3;6,4;7,8;7,3;1,1;4,8;3,0;5,1;1;6,1;1,3;4,9;7,9;5,8;7,5;9,2;1,0;4,4;1,6;5,1
2304509;2;Frecheirinha;;23;CE;6,0;1,0;5,0;8,5;5,9;6,6;8,7;0,6;10,0;0,0;3,0;1407;4,8;1,3;3,6;5,7;4,8;5,8;9,8;0,7;0,0;0,0;4,1
2309201;3;Nova Olinda;;23;CE;5,9;1,0;4,9;8,1;5,4;7,9;8,4;1,1;3,3;3,3;4,5;154;5,3;1,4;3,9;6,4;5,8;6,3;9,7;0,5;7,5;5,0;5,2
2302503;4;Brejo Santo;;23;CE;5,9;1,1;4,8;8,0;6,5;5,7;8,2;0,9;8,9;7,8;5,0;10;5,7;1,3;4,4;7,4;5,8;6,2;8,8;1,2;8,9;3,7;6,2
4314423;5;Picada Café;;43;RS;5,9;1,2;4,7;7,3;6,1;8,2;7,8;6,0;5,0;5,0;8,1;11;5,7;1,5;4,1;7,0;6,2;6,3;8,9;5,0;10,0;10,0;6,9
3514601;6;Dumont;;35;SP;5,8;1,3;4,5;8,3;6,5;6,2;9,7;2,7;10,0;10,0;3,8;1533;4,8;1,4;3,4;5,5;5,4;5,6;9,9;3,0;10,0;0,0;4,5
3519402;7;Ibirá;;35;SP;5,7;1,2;4,5;7,5;6,1;6,4;9,3;4,1;10,0;3,3;5,3;248;5,2;1,4;3,9;6,3;5,4;6,6;9,3;4,4;6,7;0,0;4,7
2304004;8;Coreaú;;23;CE;5,7;0,8;4,9;8,2;6,1;6,4;6,7;0,6;7,5;0,0;3,3;199;5,3;1,2;4,0;6,6;5,4;6,4;9,3;0,7;0,0;0,0;4,0
2311702;9;Reriutaba;;23;CE;5,7;1,0;4,7;8,2;5,2;5,2;7,6;1,0;10,0;10,0;3,8;216;5,3;1,3;4,0;6,8;5,2;5,5;8,7;1,2;8,8;3,8;4,7
2309409;10;Novo Oriente;;23;CE;5,7;0,9;4,8;7,9;6,0;6,1;7,1;1,1;10,0;6,0;3,4;31;5,5;1,3;4,3;7,2;5,1;5,6;8,9;0,7;6,7;4,7;5,5
2304905;11;Groaíras;;23;CE;5,7;0,9;4,8;7,8;5,8;7,7;7,7;0,5;0,0;0,0;3,8;2;5,9;1,3;4,6;7,7;5,6;7,0;9,6;0,6;2,5;2,5;5,1
3553005;12;Taguaí;;35;SP;5,7;1,2;4,5;7,0;5,5;8,3;8,9;3,9;6,7;0,0;7,5;41;5,5;1,4;4,1;7,1;5,9;5,9;9,3;4,2;3,3;0,0;8,3
2309904;13;Pacujá;;23;CE;5,6;1,2;4,4;6,7;4,4;9,1;9,3;2,1;10,0;10,0;3,0;2586;4,5;1,1;3,4;5,2;4,1;6,5;8,1;0,6;10,0;0,0;5,6
2307254;14;Jijoca de Jericoacoara;;23;CE;5,6;0,8;4,8;7,8;6,5;6,5;7,2;0,5;3,3;0,0;4,7;60;5,4;1,2;4,3;6,6;5,1;7,7;9,3;0,6;3,8;0,0;5,0
3526001;15;Junqueirópolis;;35;SP;5,6;1,3;4,4;7,3;5,4;6,2;9,7;4,2;6,0;2,0;6,4;20;5,6;1,5;4,3;7,0;4,6;7,0;9,4;4,2;6,0;4,0;6,5
