CO_MUNICIPIO|ANO_CENSO|NUM_COMP_ALUNOS_POR_CIDADE
1100015|2015.0|76.0
1100023|2015.0|832.0
1100031|2015.0|52.0
1100049|2015.0|808.0
1100056|2015.0|144.0
1100064|2015.0|327.0
1100072|2015.0|123.0
1100080|2015.0|98.0
1100098|2015.0|286.0
1100106|2015.0|332.0
1100114|2015.0|334.0
1100122|2015.0|1154.0
1100130|2015.0|230.0
1100148|2015.0|87.0
1100155|2015.0|300.0
1100189|2015.0|293.0
1100205|2015.0|2954.0
1100254|2015.0|190.0
1100262|2015.0|18.0
1100288|2015.0|346.0
1100296|2015.0|32.0
1100304|2015.0|659.0
1100320|2015.0|104.0
1100338|2015.0|67.0
1100346|2015.0|78.0
1100379|2015.0|23.0
1100403|2015.0|145.0
1100452|2015.0|197.0
1100502|2015.0|70.0
1100601|2015.0|60.0
1100700|2015.0|51.0
1100809|2015.0|40.0
1100908|2015.0|26.0
1100924|2015.0|105.0
1100940|2015.0|44.0
1101005|2015.0|26.0
1101104|2015.0|25.0
1101203|2015.0|69.0
1101302|2015.0|123.0
1101401|2015.0|86.0
1101435|2015.0|40.0
1101450|2015.0|10.0
1101468|2015.0|17.0
1101476|2015.0|43.0
1101484|2015.0|51.0
1101492|2015.0|87.0
1101500|2015.0|89.0
1101559|2015.0|11.0
1101609|2015.0|43.0
1101708|2015.0|50.0
1101757|2015.0|58.0
1101807|2015.0|75.0
1200013|2015.0|44.0
1200054|2015.0|6.0
1200104|2015.0|157.0
1200138|2015.0|58.0
1200179|2015.0|50.0
1200203|2015.0|726.0
1200252|2015.0|57.0
1200302|2015.0|163.0
1200328|2015.0|15.0
1200336|2015.0|113.0
1200344|2015.0|46.0
1200351|2015.0|20.0
1200385|2015.0|123.0
1200393|2015.0|28.0
1200401|2015.0|3058.0
1200427|2015.0|81.0
1200435|2015.0|69.0
1200450|2015.0|161.0
1200500|2015.0|273.0
1200609|2015.0|190.0
1200708|2015.0|91.0
1200807|2015.0|44.0
1300029|2015.0|118.0
1300060|2015.0|70.0
1300086|2015.0|105.0
1300102|2015.0|111.0
1300144|2015.0|40.0
1300201|2015.0|64.0
1300300|2015.0|203.0
1300409|2015.0|75.0
1300508|2015.0|218.0
1300607|2015.0|201.0
1300631|2015.0|135.0
1300680|2015.0|89.0
1300706|2015.0|113.0
1300805|2015.0|223.0
1300839|2015.0|62.0
1300904|2015.0|52.0
1301001|2015.0|275.0
1301100|2015.0|183.0
1301159|2015.0|167.0
1301209|2015.0|380.0
1301308|2015.0|311.0
1301407|2015.0|236.0
1301506|2015.0|74.0
1301605|2015.0|69.0
1301654|2015.0|45.0
1301704|2015.0|398.0
1301803|2015.0|53.0
1301852|2015.0|160.0
1301902|2015.0|531.0
1301951|2015.0|78.0
1302009|2015.0|14.0
1302108|2015.0|38.0
1302207|2015.0|57.0
1302306|2015.0|78.0
1302405|2015.0|259.0
1302504|2015.0|549.0
1302553|2015.0|120.0
1302603|2015.0|13011.0
1302702|2015.0|316.0
1302801|2015.0|52.0
1302900|2015.0|348.0
1303007|2015.0|82.0
1303106|2015.0|331.0
1303205|2015.0|141.0
1303304|2015.0|59.0
1303403|2015.0|968.0
1303502|2015.0|49.0
1303536|2015.0|264.0
1303569|2015.0|80.0
1303601|2015.0|70.0
1303700|2015.0|64.0
1303809|2015.0|190.0
1303908|2015.0|149.0
1303957|2015.0|61.0
1304005|2015.0|74.0
1304062|2015.0|273.0
1304104|2015.0|50.0
1304203|2015.0|505.0
1304237|2015.0|36.0
1304260|2015.0|92.0
1304302|2015.0|117.0
1304401|2015.0|106.0
1400027|2015.0|38.0
1400050|2015.0|116.0
1400100|2015.0|3182.0
1400159|2015.0|86.0
1400175|2015.0|429.0
1400209|2015.0|125.0
1400233|2015.0|89.0
1400282|2015.0|62.0
1400308|2015.0|86.0
1400407|2015.0|68.0
1400456|2015.0|36.0
1400472|2015.0|72.0
1400506|2015.0|33.0
1400605|2015.0|57.0
1400704|2015.0|6.0
1500107|2015.0|1150.0
1500131|2015.0|11.0
1500206|2015.0|163.0
1500305|2015.0|62.0
1500347|2015.0|37.0
1500404|2015.0|359.0
1500503|2015.0|244.0
1500602|2015.0|738.0
1500701|2015.0|12.0
1500800|2015.0|1784.0
1500859|2015.0|130.0
1500909|2015.0|462.0
1500958|2015.0|15.0
1501006|2015.0|146.0
1501105|2015.0|35.0
1501204|2015.0|32.0
1501253|2015.0|13.0
1501303|2015.0|457.0
1501402|2015.0|5881.0
1501451|2015.0|78.0
1501501|2015.0|284.0
1501576|2015.0|62.0
1501600|2015.0|86.0
1501709|2015.0|1058.0
1501725|2015.0|93.0
1501758|2015.0|75.0
1501782|2015.0|351.0
1501808|2015.0|539.0
1501907|2015.0|154.0
1501956|2015.0|53.0
1502004|2015.0|56.0
1502103|2015.0|560.0
1502152|2015.0|211.0
1502202|2015.0|234.0
1502301|2015.0|285.0
1502400|2015.0|1164.0
1502509|2015.0|20.0
1502608|2015.0|94.0
1502707|2015.0|522.0
1502756|2015.0|185.0
1502764|2015.0|14.0
1502772|2015.0|120.0
1502806|2015.0|81.0
1502855|2015.0|101.0
1502905|2015.0|135.0
1502939|2015.0|300.0
1502954|2015.0|112.0
1503002|2015.0|21.0
1503044|2015.0|112.0
1503077|2015.0|74.0
1503093|2015.0|257.0
1503101|2015.0|153.0
1503200|2015.0|212.0
1503309|2015.0|103.0
1503408|2015.0|52.0
1503457|2015.0|81.0
1503507|2015.0|165.0
1503606|2015.0|696.0
1503705|2015.0|48.0
1503754|2015.0|46.0
1503804|2015.0|350.0
1503903|2015.0|134.0
1504000|2015.0|60.0
1504059|2015.0|448.0
1504109|2015.0|7.0
1504208|2015.0|2118.0
1504307|2015.0|96.0
1504406|2015.0|147.0
1504422|2015.0|408.0
1504455|2015.0|145.0
1504505|2015.0|40.0
1504604|2015.0|137.0
1504703|2015.0|253.0
1504752|2015.0|48.0
1504802|2015.0|381.0
1504901|2015.0|84.0
1504950|2015.0|79.0
1504976|2015.0|96.0
1505007|2015.0|15.0
1505031|2015.0|252.0
1505064|2015.0|270.0
1505106|2015.0|268.0
1505205|2015.0|133.0
1505304|2015.0|165.0
1505403|2015.0|115.0
1505437|2015.0|77.0
1505486|2015.0|140.0
1505494|2015.0|34.0
1505502|2015.0|835.0
1505536|2015.0|971.0
1505551|2015.0|11.0
1505601|2015.0|72.0
1505635|2015.0|78.0
1505650|2015.0|91.0
1505700|2015.0|15.0
1505809|2015.0|232.0
1505908|2015.0|123.0
1506005|2015.0|82.0
1506104|2015.0|57.0
1506112|2015.0|45.0
1506138|2015.0|452.0
1506161|2015.0|109.0
1506187|2015.0|112.0
1506195|2015.0|219.0
1506203|2015.0|79.0
1506302|2015.0|184.0
1506351|2015.0|193.0
1506401|2015.0|24.0
1506500|2015.0|332.0
1506559|2015.0|34.0
1506583|2015.0|81.0
1506609|2015.0|58.0
1506708|2015.0|21.0
1506807|2015.0|2010.0
1506906|2015.0|125.0
1507003|2015.0|162.0
1507102|2015.0|46.0
1507151|2015.0|116.0
1507201|2015.0|83.0
1507300|2015.0|105.0
1507409|2015.0|153.0
1507458|2015.0|136.0
1507466|2015.0|5.0
1507474|2015.0|94.0
1507508|2015.0|86.0
1507607|2015.0|262.0
1507706|2015.0|97.0
1507755|2015.0|6.0
1507805|2015.0|116.0
1507904|2015.0|117.0
1507953|2015.0|356.0
1507961|2015.0|26.0
1507979|2015.0|202.0
1508001|2015.0|529.0
1508035|2015.0|109.0
1508050|2015.0|39.0
1508084|2015.0|81.0
1508100|2015.0|1024.0
1508126|2015.0|229.0
1508159|2015.0|124.0
1508209|2015.0|266.0
1508308|2015.0|154.0
1508357|2015.0|140.0
1508407|2015.0|285.0
1600055|2015.0|74.0
1600105|2015.0|75.0
1600154|2015.0|98.0
1600204|2015.0|77.0
1600212|2015.0|18.0
1600238|2015.0|39.0
1600253|2015.0|49.0
1600279|2015.0|471.0
1600303|2015.0|3140.0
1600402|2015.0|127.0
1600501|2015.0|111.0
1600535|2015.0|129.0
1600550|2015.0|15.0
1600600|2015.0|961.0
1600709|2015.0|62.0
1600808|2015.0|97.0
1700251|2015.0|14.0
1700301|2015.0|44.0
1700350|2015.0|36.0
1700400|2015.0|104.0
1700707|2015.0|63.0
1701002|2015.0|54.0
1701051|2015.0|29.0
1701101|2015.0|29.0
1701309|2015.0|19.0
1701903|2015.0|56.0
1702000|2015.0|60.0
1702109|2015.0|1268.0
1702158|2015.0|24.0
1702208|2015.0|464.0
1702307|2015.0|12.0
1702406|2015.0|130.0
1702554|2015.0|162.0
1702703|2015.0|10.0
