;ID_PROPOSTA;UF_PROPONENTE;MUNIC_PROPONENTE;COD_MUNIC_IBGE;COD_ORGAO_SUP;DESC_ORGAO_SUP;NATUREZA_JURIDICA;NR_PROPOSTA;DIA_PROP;MES_PROP;ANO_PROP;DIA_PROPOSTA;COD_ORGAO;DESC_ORGAO;MODALIDADE;IDENTIF_PROPONENTE;NM_PROPONENTE;CEP_PROPONENTE;ENDERECO_PROPONENTE;BAIRRO_PROPONENTE;NM_BANCO;SITUACAO_CONTA;SITUACAO_PROJETO_BASICO;SIT_PROPOSTA;DIA_INIC_VIGENCIA_PROPOSTA;DIA_FIM_VIGENCIA_PROPOSTA;OBJETO_PROPOSTA;VL_GLOBAL_PROP;VL_REPASSE_PROP;VL_CONTRAPARTIDA_PROP;NR_CONVENIO;DIA;MES;ANO;DIA_ASSIN_CONV;SIT_CONVENIO;SUBSITUACAO_CONV;SITUACAO_PUBLICACAO;INSTRUMENTO_ATIVO;IND_OPERA_OBTV;NR_PROCESSO;UG_EMITENTE;DIA_PUBL_CONV;DIA_INIC_VIGENC_CONV;DIA_FIM_VIGENC_CONV;DIAS_PREST_CONTAS;DIA_LIMITE_PREST_CONTAS;SITUACAO_CONTRATACAO;QTDE_CONVENIOS;QTD_TA;QTD_PRORROGA;VL_GLOBAL_CONV;VL_REPASSE_CONV;VL_CONTRAPARTIDA_CONV;VL_EMPENHADO_CONV;VL_DESEMBOLSADO_CONV;VL_SALDO_REMAN_TESOURO;VL_SALDO_REMAN_CONVENENTE;VL_RENDIMENTO_APLICACAO;VL_INGRESSO_CONTRAPARTIDA
0;2469;RJ;RIO DE JANEIRO;3304557.0;26000;MINISTERIO DA EDUCACAO;Organização da Sociedade Civil;543/2008;29;9;2008;29/09/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;33555921000170;FACULDADES CATOLICAS;22451900;RUA MARQUES DE SAO VICENTE. 225 - GAVEA. RIO DE JANEIRO - RJ. CEP: 22451-900;GAVEA;BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;05/12/2008;28/02/2009;O Programa tem por metas implementar medidas que melhorem a qualidade de Ensino de Graduação. incorporando atividades multidisciplinares. em grupo composto por alunos e professores e conduzidas por projetos.;368208;306840;61368;700551;5;12;2008;05/12/2008;Prestação de Contas em Análise;;Publicado;SIM;NÃO;2.30000055492008E+016;150011.0;12/12/2008;05/12/2008;28/02/2009;60;29/04/2009;;1;;1.0;368208;306840;61368;306840;306840;;;;61368
1;3586;SP;SAO PAULO;3550308.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;1232/2008;9;10;2008;09/10/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;62823257000109;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA;1124060;Praça Coronel Fernando Prestes. 74 - Bom Retiro São Paulo. SAO PAULO - SP. CEP: 01124-060;Bom Retiro São Paulo;BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;31/12/2011;Construção de um bloco de salas no Campus da Faculdade de Tecnologia de Sorocaba. Unidade de Ensino do Centro Estadual de Educação Tecnológica Paula Souza. autarquia do Estado de São Paulo. vinculado à Secretaria de Desenvolvimento do Estado de São Paulo;1000000;800000;200000;701969;24;12;2008;24/12/2008;Convênio Anulado;;Publicado;NÃO;NÃO;23000.012776/2008-33;150011.0;31/12/2008;30/12/2008;31/12/2011;0;31/12/2011;;1;;2.0;1000000;800000;200000;800000;;;;;
2;3912;SC;FLORIANOPOLIS;;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;1509/2008;14;10;2008;14/10/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;83891283000136;FUNDACAO UNIVERSIDADE DO ESTADO DE SC UDESC;88035001;MADRE BENVENUTA - SANTA MONICA. FLORIANOPOLIS - SC. CEP: 88035-001;SANTA MONICA;BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;31/12/2011;Apoio para a ampliação da infra-estrutura física da UDESC – ESAG - Camboriú.;2568290.14;1000000;1568290.14;702090;29;12;2008;29/12/2008;Convênio Anulado;;Publicado;NÃO;NÃO;23000.020958/2008-88;150011.0;31/12/2008;30/12/2008;31/12/2011;30;30/01/2012;;1;;2.0;2568290.14;1000000;1568290.14;1000000;;;;;
3;3989;MG;BELO HORIZONTE;3106200.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;1574/2008;14;10;2008;14/10/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;65172579000115;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;31630900;"RODOVIA PREFEITO AMERICO GIANETTI 3701. 3701. ANDAR: 8; EDIF: MINAS; CONJ: CIDADE ADMINISTRATIV; - SERRA VERDE (VENDA NOVA). BELO HORIZONTE - MG. CEP: 31630-900";SERRA VERDE (VENDA NOVA);BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;31/12/2013;Apoio financeiro à Universidade do Estado de Minas gerais na implantação e manutenção do Campus da UEMG no Município de Frutal.;2000000;1000000;1000000;702134;29;12;2008;29/12/2008;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;23000.009297/2008-30;150011.0;31/12/2008;30/12/2008;31/12/2013;60;01/03/2014;;1;3.0;1.0;2000000;1000000;1000000;1000000;1000000;788283.82;790526.62;;1000000
4;4153;SC;FLORIANOPOLIS;;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;1722/2008;16;10;2008;16/10/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;83891283000136;FUNDACAO UNIVERSIDADE DO ESTADO DE SC UDESC;88035001;MADRE BENVENUTA - SANTA MONICA. FLORIANOPOLIS - SC. CEP: 88035-001;SANTA MONICA;BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;30/06/2011;Apoio financeiro destinado à montagem de 4 laboratórios : Laboratório de Física. Laboratório de Química. Laboratório de Biologia e Laboratório de Análises Físico-Químicas) da área de formação básica dos cursos de Engenharia da Universidade do Estado de Santa Catarina – UDESC;362538;300000;62538;701332;18;12;2008;18/12/2008;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;23000.014544/2008-10;150011.0;23/12/2008;30/12/2008;30/06/2011;41;10/08/2011;;1;3.0;3.0;362538;300000;62538;300000;300000;114880.8;21354.27;;62538
5;4772;MG;BELO HORIZONTE;3106200.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;2250/2008;21;10;2008;21/10/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;65172579000115;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;31630900;"RODOVIA PREFEITO AMERICO GIANETTI 3701. 3701. ANDAR: 8; EDIF: MINAS; CONJ: CIDADE ADMINISTRATIV; - SERRA VERDE (VENDA NOVA). BELO HORIZONTE - MG. CEP: 31630-900";SERRA VERDE (VENDA NOVA);BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;31/10/2013;Apoio financeiro à Universidade do Estado de Minas Gerais para aquisição de equipamentos e para implantação de laboratórios.;3400000;1700000;1700000;701204;18;12;2008;18/12/2008;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;23000009298/2008-84;150011.0;30/12/2008;30/12/2008;31/10/2013;61;31/12/2013;;1;3.0;2.0;3400000;1700000;1700000;1700000;1700000;1141038.85;1100808.6;;1700000
6;4898;PR;PONTA GROSSA;4119905.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;2368/2008;22;10;2008;22/10/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;80257355000108;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;84030900;AVENIDA GAL.CARLOS CAVALCANTI. 4748 - UVARANAS. PONTA GROSSA - PR. CEP: 84030-900;UVARANAS;CAIXA ECONOMICA FEDERAL;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;31/12/2008;01/01/2012;Apoio Financeiro destinado à construção da segunda etapa do Centro de Eventos da Universidade Estadual de Ponta Grossa.;1256928.12;1000000;256928.12;701398;24;12;2008;24/12/2008;Convênio Anulado;;Publicado;NÃO;NÃO;23000.012253/2008-97;150011.0;31/12/2008;31/12/2008;01/01/2012;30;31/01/2012;;1;;2.0;1256928.12;1000000;256928.12;1000000;;;;;
7;5102;PR;PONTA GROSSA;4119905.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;2551/2008;23;10;2008;23/10/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;80257355000108;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;84030900;AVENIDA GAL.CARLOS CAVALCANTI. 4748 - UVARANAS. PONTA GROSSA - PR. CEP: 84030-900;UVARANAS;CAIXA ECONOMICA FEDERAL;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;31/12/2011;Fechamento da Quadra de Esportes do Curso de Educação Física da UEPG. irá beneficiar todos os acadêmicos do Curso  . bem como os alunos de toda Universidade para a prática orientado dos desportos. em qualquer tempo . além de oferecer a oportunidade também aos alunos de colégios próximos que não possuem local para a prática da Educação Física Escolar.. integrando toda comunidade estudantil da região . através da pratica  desportiva orientada.;144986.2;100000;44986.2;701551;23;12;2008;23/12/2008;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;23000.008465/2008-70;150011.0;24/12/2008;30/12/2008;31/12/2011;30;30/01/2012;;1;3.0;1.0;144986.2;100000;44986.2;100000;100000;;7876.96;;44986.2
8;5217;SC;BLUMENAU;4202404.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Municipal;2662/2008;23;10;2008;23/10/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;82662958000102;FUNDACAO UNIVERSIDADE REGIONAL DE BLUMENAU;89012900;Rua Antonio da Veiga 140 - Victor Konder. BLUMENAU - SC. CEP: 89012-900;Victor Konder;BANCO DO BRASIL SA;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;31/12/2009;APOIO FINANCEIRO DESTINADO À AQUISIÇÃO DE MATERIAL DE CONSUMO;120000;100000;20000;702478;29;12;2008;29/12/2008;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;23000.014524/2008-49;150011.0;31/12/2008;30/12/2008;31/12/2009;60;01/03/2010;;1;;1.0;120000;100000;20000;100000;100000;;;;
9;5878;PR;PONTA GROSSA;4119905.0;26000;MINISTERIO DA EDUCACAO;Administração Pública Estadual ou do Distrito Federal;3263/2008;27;10;2008;27/10/2008;26000;MINISTERIO DA EDUCACAO;CONVENIO;80257355000108;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;84030900;AVENIDA GAL.CARLOS CAVALCANTI. 4748 - UVARANAS. PONTA GROSSA - PR. CEP: 84030-900;UVARANAS;CAIXA ECONOMICA FEDERAL;Registrada;Não Cadastrado;Proposta/Plano de Trabalho Aprovados;30/12/2008;31/12/2011;Prover a Imprensa Universitária da UEPG de infra-estrutura básica de espaço físico e equipamentos para atender as necessidades de produção de material didático. de periódicos científicos. de divulgação de atividades institucionais e impressão de provas para o vestibular e para processo seletivo seriado.;250932.63;200000;50932.63;701552;23;12;2008;23/12/2008;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;23000.011520/2008-17;150011.0;24/12/2008;30/12/2008;31/12/2011;48;17/02/2012;;1;2.0;1.0;250932.63;200000;50932.63;200000;200000;;18865.77;;50932.63
