CO_MUNICIPIO|NU_ANO_CENSO|CO_ENTIDADE|MEDIA_QTD_ALUNOS_POR_ESCOLA|MEDIA_NU_COMP_PARA_ALUNOS|COMP_POR_ALUNO(%)|NUM_ESCOLAS_INTERNET_MUNIC|MEDIA_SALAS_EXISTENTES|MEDIA_PONTUACAO
1100015|2017.0|11022558.0|168.45714285714286|2.8857142857142857|0.6089509704108116|16.0|6.828571428571428|440.9428571428571
1100023|2017.0|11006722.0|548.4509803921569|17.11764705882353|8.115307413985528|47.0|13.313725490196079|1050.2156862745098
1100031|2017.0|11033924.0|162.88888888888889|6.333333333333333|9.908296125116916|9.0|8.11111111111111|470.22222222222223
1100049|2017.0|11025670.0|387.0983606557377|14.032786885245901|3.890848905861977|43.0|11.950819672131148|741.2622950819672
1100056|2017.0|11034459.0|263.5625|8.0|3.1045401698542854|16.0|9.8125|667.875
1100064|2017.0|11035099.0|259.6470588235294|17.176470588235293|6.546540222442272|17.0|13.588235294117647|887.1764705882352
1100072|2017.0|11036125.0|178.5|6.4|3.2444179775764708|9.0|7.4|594.2
1100080|2017.0|11005386.0|266.8|4.666666666666667|2.7846401806788523|12.0|7.466666666666667|514.9333333333333
1100098|2017.0|11027487.0|292.22222222222223|8.555555555555555|3.277983180206572|18.0|7.666666666666667|577.7037037037037
1100106|2017.0|11005874.0|201.69565217391303|5.6521739130434785|1.7408597217381714|28.0|5.608695652173913|337.4782608695652
1100114|2017.0|11011157.0|350.2307692307692|8.974358974358974|5.582629394254429|34.0|10.025641025641026|706.974358974359
1100122|2017.0|11013133.0|377.4725274725275|11.538461538461538|3.7961554745219135|70.0|9.417582417582418|681.1758241758242
1100130|2017.0|11007966.0|302.7096774193548|2.967741935483871|0.4411610065670079|15.0|8.064516129032258|469.9032258064516
1100148|2017.0|11021420.0|376.72727272727275|8.454545454545455|2.594576169576635|11.0|9.909090909090908|726.2727272727273
1100155|2017.0|11016221.0|412.16|12.16|3.0740984606975106|25.0|9.84|819.88
