;COD_MUNIC_IBGE;ANO_CENSO;SIGLA;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE;NM_MUN_2017
0;2700102.0;2013;AL;125.0;ÁGUA BRANCA
1;2700201.0;2013;AL;275.4230769230769;ANADIA
2;2700300.0;2013;AL;654.3252032520326;ARAPIRACA
3;2700409.0;2013;AL;283.67857142857144;ATALAIA
4;2700508.0;2013;AL;398.2;BARRA DE SANTO ANTÔNIO
5;2700607.0;2013;AL;433.9;BARRA DE SÃO MIGUEL
6;2700706.0;2013;AL;347.46153846153845;BATALHA
7;2700805.0;2013;AL;171.4;BELÉM
8;2700904.0;2013;AL;211.1;BELO MONTE
9;2701001.0;2013;AL;708.2142857142857;BOCA DA MATA
10;2701100.0;2013;AL;300.6363636363636;BRANQUINHA
11;2701209.0;2013;AL;197.66666666666666;CACIMBINHAS
12;2701308.0;2013;AL;365.625;CAJUEIRO
13;2701357.0;2013;AL;297.07142857142856;CAMPESTRE
14;2701407.0;2013;AL;564.72;CAMPO ALEGRE
15;2701506.0;2013;AL;223.32;CAMPO GRANDE
16;2701605.0;2013;AL;236.89655172413794;CANAPI
17;2701704.0;2013;AL;292.55882352941177;CAPELA
18;2701803.0;2013;AL;277.3333333333333;CARNEIROS
19;2701902.0;2013;AL;160.44827586206895;CHÃ PRETA
20;2702009.0;2013;AL;232.4814814814815;COITÉ DO NÓIA
21;2702108.0;2013;AL;276.82758620689657;COLÔNIA LEOPOLDINA
22;2702207.0;2013;AL;398.0;COQUEIRO SECO
23;2702306.0;2013;AL;719.3703703703703;CORURIPE
24;2702355.0;2013;AL;412.7142857142857;CRAÍBAS
25;2702405.0;2013;AL;463.24444444444447;DELMIRO GOUVEIA
26;2702504.0;2013;AL;200.54545454545453;DOIS RIACHOS
27;2702553.0;2013;AL;263.6;ESTRELA DE ALAGOAS
28;2702603.0;2013;AL;246.53488372093022;FEIRA GRANDE
29;2702702.0;2013;AL;471.14285714285717;FELIZ DESERTO
30;2702801.0;2013;AL;267.3478260869565;FLEXEIRAS
31;2702900.0;2013;AL;257.85185185185185;GIRAU DO PONCIANO
32;2703007.0;2013;AL;220.92592592592592;IBATEGUARA
33;2703106.0;2013;AL;224.8235294117647;IGACI
34;2703205.0;2013;AL;213.77272727272728;IGREJA NOVA
35;2703304.0;2013;AL;159.15384615384616;INHAPI
36;2703403.0;2013;AL;258.9375;JACARÉ DOS HOMENS
37;2703502.0;2013;AL;138.04;JACUÍPE
38;2703601.0;2013;AL;154.72727272727272;JAPARATINGA
39;2703700.0;2013;AL;266.0;JARAMATAIA
40;2703759.0;2013;AL;290.27777777777777;JEQUIÁ DA PRAIA
41;2703809.0;2013;AL;257.030303030303;JOAQUIM GOMES
42;2703908.0;2013;AL;161.46666666666667;JUNDIÁ
43;2704005.0;2013;AL;337.9591836734694;JUNQUEIRO
44;2704104.0;2013;AL;403.25;LAGOA DA CANOA
45;2704203.0;2013;AL;204.984126984127;LIMOEIRO DE ANADIA
46;2704302.0;2013;AL;886.3983402489627;MACEIÓ
47;2704401.0;2013;AL;235.86046511627907;MAJOR ISIDORO
48;2704500.0;2013;AL;213.18867924528303;MARAGOGI
49;2704609.0;2013;AL;147.52631578947367;MARAVILHA
50;2704708.0;2013;AL;486.7142857142857;MARECHAL DEODORO
51;2704807.0;2013;AL;238.26923076923077;MARIBONDO
52;2704906.0;2013;AL;165.76470588235293;MAR VERMELHO
53;2705002.0;2013;AL;171.34722222222223;MATA GRANDE
54;2705101.0;2013;AL;314.80645161290323;MATRIZ DE CAMARAGIBE
55;2705200.0;2013;AL;482.5;MESSIAS
56;2705309.0;2013;AL;177.4090909090909;MINADOR DO NEGRÃO
57;2705408.0;2013;AL;196.36363636363637;MONTEIRÓPOLIS
58;2705507.0;2013;AL;275.6363636363636;MURICI
59;2705606.0;2013;AL;184.96666666666667;NOVO LINO
60;2705705.0;2013;AL;234.6451612903226;OLHO D'ÁGUA DAS FLORES
61;2705804.0;2013;AL;237.95652173913044;OLHO D'ÁGUA DO CASADO
62;2705903.0;2013;AL;133.29166666666666;OLHO D'ÁGUA GRANDE
63;2706000.0;2013;AL;156.89743589743588;OLIVENÇA
64;2706109.0;2013;AL;166.7027027027027;OURO BRANCO
65;2706208.0;2013;AL;228.92307692307693;PALESTINA
66;2706307.0;2013;AL;724.6792452830189;PALMEIRA DOS ÍNDIOS
67;2706406.0;2013;AL;199.27586206896552;PÃO DE AÇÚCAR
68;2706422.0;2013;AL;220.68;PARICONHA
69;2706448.0;2013;AL;617.7142857142857;PARIPUEIRA
70;2706505.0;2013;AL;321.44;PASSO DE CAMARAGIBE
71;2706604.0;2013;AL;317.0;PAULO JACINTO
72;2706703.0;2013;AL;616.6304347826087;PENEDO
73;2706802.0;2013;AL;528.125;PIAÇABUÇU
74;2706901.0;2013;AL;443.3333333333333;PILAR
75;2707008.0;2013;AL;98.85;PINDOBA
76;2707107.0;2013;AL;385.7;PIRANHAS
77;2707206.0;2013;AL;237.82857142857142;POÇO DAS TRINCHEIRAS
78;2707305.0;2013;AL;234.9607843137255;PORTO CALVO
79;2707404.0;2013;AL;160.0;PORTO DE PEDRAS
80;2707503.0;2013;AL;150.82926829268294;PORTO REAL DO COLÉGIO
81;2707602.0;2013;AL;238.93548387096774;QUEBRANGULO
82;2707701.0;2013;AL;469.7843137254902;RIO LARGO
83;2707800.0;2013;AL;378.25;ROTEIRO
84;2707909.0;2013;AL;276.5;SANTA LUZIA DO NORTE
85;2708006.0;2013;AL;309.86842105263156;SANTANA DO IPANEMA
86;2708105.0;2013;AL;141.44444444444446;SANTANA DO MUNDAÚ
87;2708204.0;2013;AL;336.0;SÃO BRÁS
88;2708303.0;2013;AL;363.53333333333336;SÃO JOSÉ DA LAJE
89;2708402.0;2013;AL;266.0149253731343;SÃO JOSÉ DA TAPERA
90;2708501.0;2013;AL;261.0;SÃO LUÍS DO QUITUNDE
91;2708600.0;2013;AL;715.3214285714286;SÃO MIGUEL DOS CAMPOS
92;2708709.0;2013;AL;198.85714285714286;SÃO MIGUEL DOS MILAGRES
93;2708808.0;2013;AL;354.1458333333333;SÃO SEBASTIÃO
94;2708907.0;2013;AL;544.3888888888889;SATUBA
95;2708956.0;2013;AL;209.40625;SENADOR RUI PALMEIRA
96;2709004.0;2013;AL;200.3125;TANQUE D'ARCA
97;2709103.0;2013;AL;198.0810810810811;TAQUARANA
98;2709152.0;2013;AL;571.6818181818181;TEOTÔNIO VILELA
99;2709202.0;2013;AL;178.84285714285716;TRAIPU
