;COD_MUNIC_IBGE;ANO_CENSO;SIGLA;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE;NM_MUN_2017
0;1600055.0;2013;AP;456.22222222222223;SERRA DO NAVIO
1;1600105.0;2013;AP;246.06896551724137;AMAPÁ
2;1600154.0;2013;AP;311.18518518518516;PEDRA BRANCA DO AMAPARI
3;1600204.0;2013;AP;302.82758620689657;CALÇOENE
4;1600212.0;2013;AP;190.04166666666666;CUTIAS
5;1600238.0;2013;AP;418.1818181818182;FERREIRA GOMES
6;1600253.0;2013;AP;189.7;ITAUBAL
7;1600279.0;2013;AP;371.77142857142854;LARANJAL DO JARI
8;1600303.0;2013;AP;776.8697318007663;MACAPÁ
9;1600402.0;2013;AP;170.86666666666667;MAZAGÃO
10;1600501.0;2013;AP;223.08928571428572;OIAPOQUE
11;1600535.0;2013;AP;420.6363636363636;PORTO GRANDE
12;1600550.0;2013;AP;300.61538461538464;PRACUÚBA
13;1600600.0;2013;AP;926.5633802816901;SANTANA
14;1600709.0;2013;AP;201.70833333333334;TARTARUGALZINHO
15;1600808.0;2013;AP;230.6578947368421;VITÓRIA DO JARI
