SIGLA;ANO_CENSO;UF_PROPONENTE;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE
AC;2013;AC;203.29285059578368
AL;2013;AL;324.4281395987909
AM;2013;AM;225.65807926829268
AP;2013;AP;445.10488676996425
BA;2013;BA;226.38540718159865
CE;2013;CE;274.5169855525185
DF;2013;DF;1166.3303964757708
ES;2013;ES;380.60280999107937
GO;2013;GO;526.5950687529635
MA;2013;MA;206.87078079225577
MG;2013;MG;362.8033289728901
MS;2013;MS;817.8602885345482
MT;2013;MT;466.4248324289818
PA;2013;PA;220.46721597653794
PB;2013;PB;240.08434232250963
PE;2013;PE;283.02078275225796
PI;2013;PI;187.48149409627612
PR;2013;PR;600.9551463644948
RJ;2013;RJ;633.2047283079589
RN;2013;RN;275.45987286452123
RO;2013;RO;295.984496124031
RR;2013;RR;295.9028925619835
RS;2013;RS;457.37224035323476
SC;2013;SC;435.08809111880043
SE;2013;SE;300.154602675059
SP;2013;SP;672.2655971479501
TO;2013;TO;272.09816576086956
