;COD_MUNIC_IBGE;ANO_CENSO;SIGLA;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE;NM_MUN_2017
0;3500105.0;2013;SP;635.0;ADAMANTINA
1;3500204.0;2013;SP;760.3333333333334;ADOLFO
2;3500303.0;2013;SP;765.6666666666666;AGUAÍ
3;3500402.0;2013;SP;432.14285714285717;ÁGUAS DA PRATA
4;3500501.0;2013;SP;479.9047619047619;ÁGUAS DE LINDÓIA
5;3500550.0;2013;SP;770.25;ÁGUAS DE SANTA BÁRBARA
6;3500600.0;2013;SP;969.3333333333334;ÁGUAS DE SÃO PEDRO
7;3500709.0;2013;SP;670.2083333333334;AGUDOS
8;3500758.0;2013;SP;395.25;ALAMBARI
9;3500808.0;2013;SP;566.3333333333334;ALFREDO MARCONDES
10;3500907.0;2013;SP;591.25;ALTAIR
11;3501004.0;2013;SP;721.6363636363636;ALTINÓPOLIS
12;3501103.0;2013;SP;240.11111111111111;ALTO ALEGRE
13;3501152.0;2013;SP;679.1666666666666;ALUMÍNIO
14;3501202.0;2013;SP;711.5;ÁLVARES FLORENCE
15;3501301.0;2013;SP;535.625;ÁLVARES MACHADO
16;3501400.0;2013;SP;478.6;ÁLVARO DE CARVALHO
17;3501509.0;2013;SP;630.5;ALVINLÂNDIA
18;3501608.0;2013;SP;816.8659793814433;AMERICANA
19;3501707.0;2013;SP;828.4375;AMÉRICO BRASILIENSE
20;3501806.0;2013;SP;928.0;AMÉRICO DE CAMPOS
21;3501905.0;2013;SP;705.5714285714286;AMPARO
22;3502002.0;2013;SP;491.8;ANALÂNDIA
23;3502101.0;2013;SP;445.0208333333333;ANDRADINA
24;3502200.0;2013;SP;677.3846153846154;ANGATUBA
25;3502309.0;2013;SP;513.25;ANHEMBI
26;3502408.0;2013;SP;562.5;ANHUMAS
27;3502507.0;2013;SP;475.9512195121951;APARECIDA
28;3502606.0;2013;SP;568.25;APARECIDA D'OESTE
29;3502705.0;2013;SP;319.80434782608694;APIAÍ
30;3502754.0;2013;SP;644.3333333333334;ARAÇARIGUAMA
31;3502804.0;2013;SP;640.7378640776699;ARAÇATUBA
32;3502903.0;2013;SP;590.4074074074074;ARAÇOIABA DA SERRA
33;3503000.0;2013;SP;628.5;ARAMINA
34;3503109.0;2013;SP;592.0;ARANDU
35;3503158.0;2013;SP;251.77777777777777;ARAPEÍ
36;3503208.0;2013;SP;849.8787878787879;ARARAQUARA
37;3503307.0;2013;SP;756.7258064516129;ARARAS
38;3503356.0;2013;SP;617.0;ARCO-ÍRIS
39;3503406.0;2013;SP;469.375;AREALVA
40;3503505.0;2013;SP;261.9;AREIAS
41;3503604.0;2013;SP;635.375;AREIÓPOLIS
42;3503703.0;2013;SP;850.8333333333334;ARIRANHA
43;3503802.0;2013;SP;563.9333333333333;ARTUR NOGUEIRA
44;3503901.0;2013;SP;456.5921052631579;ARUJÁ
45;3503950.0;2013;SP;755.0;ASPÁSIA
46;3504008.0;2013;SP;831.6734693877551;ASSIS
47;3504107.0;2013;SP;462.2696629213483;ATIBAIA
48;3504206.0;2013;SP;580.4444444444445;AURIFLAMA
49;3504305.0;2013;SP;420.42857142857144;AVAÍ
50;3504404.0;2013;SP;540.25;AVANHANDAVA
51;3504503.0;2013;SP;635.1290322580645;AVARÉ
52;3504602.0;2013;SP;542.7272727272727;BADY BASSITT
53;3504701.0;2013;SP;289.1666666666667;BALBINOS
54;3504800.0;2013;SP;799.25;BÁLSAMO
55;3504909.0;2013;SP;290.89473684210526;BANANAL
56;3505005.0;2013;SP;351.2;BARÃO DE ANTONINA
57;3505104.0;2013;SP;686.2;BARBOSA
58;3505203.0;2013;SP;652.9047619047619;BARIRI
59;3505302.0;2013;SP;836.1333333333333;BARRA BONITA
60;3505351.0;2013;SP;332.4375;BARRA DO CHAPÉU
61;3505401.0;2013;SP;157.14814814814815;BARRA DO TURVO
62;3505500.0;2013;SP;716.7088607594936;BARRETOS
63;3505609.0;2013;SP;597.0555555555555;BARRINHA
64;3505708.0;2013;SP;915.1052631578947;BARUERI
65;3505807.0;2013;SP;528.7142857142857;BASTOS
66;3505906.0;2013;SP;707.8666666666667;BATATAIS
67;3506003.0;2013;SP;710.6944444444445;BAURU
68;3506102.0;2013;SP;696.75;BEBEDOURO
69;3506201.0;2013;SP;354.8333333333333;BENTO DE ABREU
70;3506300.0;2013;SP;518.0;BERNARDINO DE CAMPOS
71;3506359.0;2013;SP;610.9166666666666;BERTIOGA
72;3506409.0;2013;SP;792.0;BILAC
73;3506508.0;2013;SP;623.3731343283582;BIRIGUI
74;3506607.0;2013;SP;546.3333333333334;BIRITIBA MIRIM
75;3506706.0;2013;SP;608.0;BOA ESPERANÇA DO SUL
76;3506805.0;2013;SP;692.5714285714286;BOCAINA
77;3506904.0;2013;SP;732.375;BOFETE
78;3507001.0;2013;SP;765.5294117647059;BOITUVA
79;3507100.0;2013;SP;620.1538461538462;BOM JESUS DOS PERDÕES
80;3507159.0;2013;SP;901.5;BOM SUCESSO DE ITARARÉ
81;3507209.0;2013;SP;492.6666666666667;BORÁ
82;3507308.0;2013;SP;710.75;BORACÉIA
83;3507407.0;2013;SP;566.6;BORBOREMA
84;3507456.0;2013;SP;517.75;BOREBI
85;3507506.0;2013;SP;623.8571428571429;BOTUCATU
86;3507605.0;2013;SP;568.1132075471698;BRAGANÇA PAULISTA
87;3507704.0;2013;SP;392.57142857142856;BRAÚNA
88;3507753.0;2013;SP;426.0;BREJO ALEGRE
89;3507803.0;2013;SP;652.1538461538462;BRODOWSKI
90;3507902.0;2013;SP;548.6470588235294;BROTAS
91;3508009.0;2013;SP;483.3636363636364;BURI
92;3508108.0;2013;SP;654.5;BURITAMA
93;3508207.0;2013;SP;807.25;BURITIZAL
94;3508306.0;2013;SP;1018.0;CABRÁLIA PAULISTA
95;3508405.0;2013;SP;645.2222222222222;CABREÚVA
96;3508504.0;2013;SP;578.78;CAÇAPAVA
97;3508603.0;2013;SP;405.82978723404256;CACHOEIRA PAULISTA
98;3508702.0;2013;SP;518.5625;CACONDE
99;3508801.0;2013;SP;549.4705882352941;CAFELÂNDIA
100;3508900.0;2013;SP;449.2;CAIABU
101;3509007.0;2013;SP;602.5964912280701;CAIEIRAS
102;3509106.0;2013;SP;719.2;CAIUÁ
103;3509205.0;2013;SP;812.0;CAJAMAR
104;3509254.0;2013;SP;314.30232558139534;CAJATI
