SIGLA;ANO_CENSO;UF_PROPONENTE;CD_GEOCUF;CD_GEOCODM;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE
AC;2015;AC;12;1200013.0;196.1951871657754
AL;2015;AL;27;2700102.0;340.90829323521086
AM;2015;AM;13;1300029.0;241.57343913759544
AP;2015;AP;16;1600055.0;457.6357142857143
BA;2015;BA;29;2900108.0;234.41764443181356
CE;2015;CE;23;2300101.0;273.6098467254993
DF;2015;DF;53;5300108.0;1159.8277858176555
ES;2015;ES;32;3200102.0;387.08878091872793
GO;2015;GO;52;5200050.0;559.2303815694744
MA;2015;MA;21;2100055.0;209.07384964968756
MG;2015;MG;31;3100104.0;361.3765445768192
MS;2015;MS;50;5000203.0;841.0058351568198
MT;2015;MT;51;5100102.0;470.9793556459181
PA;2015;PA;15;1500107.0;225.9552598924583
PB;2015;PB;25;2500106.0;243.1291178112786
PE;2015;PE;26;2600054.0;285.9612006563073
PI;2015;PI;22;2200053.0;194.26142313184198
PR;2015;PR;41;4100103.0;599.5932242452178
RJ;2015;RJ;33;3300100.0;647.7566414818425
RN;2015;RN;24;2400109.0;280.80166106387185
RO;2015;RO;11;1100015.0;288.816054860831
RR;2015;RR;14;1400027.0;294.90945674044264
RS;2015;RS;43;4300034.0;458.4155095872296
SC;2015;SC;42;4200051.0;438.2233864207879
SE;2015;SE;28;2800100.0;302.9765350019554
SP;2015;SP;35;3500105.0;664.7246431254696
TO;2015;TO;17;1700251.0;271.37048192771084
