COD_MUNIC_IBGE;ANO_CENSO;UF_PROPONENTE;CD_GEOCUF;CD_GEOCODM;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE
2600054.0;2017;PE;26;2600054.0;453.42857142857144
2600104.0;2017;PE;26;2600104.0;278.359375
2600203.0;2017;PE;26;2600203.0;158.1076923076923
2600302.0;2017;PE;26;2600302.0;234.90697674418604
2600401.0;2017;PE;26;2600401.0;170.1549295774648
2600500.0;2017;PE;26;2600500.0;121.06451612903226
2600609.0;2017;PE;26;2600609.0;326.25
2600708.0;2017;PE;26;2600708.0;525.9285714285714
2600807.0;2017;PE;26;2600807.0;116.19402985074628
2600906.0;2017;PE;26;2600906.0;194.80851063829786
2601003.0;2017;PE;26;2601003.0;203.70833333333334
2601052.0;2017;PE;26;2601052.0;472.64285714285717
2601102.0;2017;PE;26;2601102.0;215.63803680981596
2601201.0;2017;PE;26;2601201.0;380.3
2601300.0;2017;PE;26;2601300.0;259.05
2601409.0;2017;PE;26;2601409.0;359.1
2601508.0;2017;PE;26;2601508.0;221.3913043478261
2601607.0;2017;PE;26;2601607.0;80.336
2601706.0;2017;PE;26;2601706.0;298.6788990825688
2601805.0;2017;PE;26;2601805.0;126.82352941176471
2601904.0;2017;PE;26;2601904.0;241.8279569892473
2602001.0;2017;PE;26;2602001.0;171.63392857142858
2602100.0;2017;PE;26;2602100.0;175.21951219512195
2602209.0;2017;PE;26;2602209.0;204.51764705882354
2602308.0;2017;PE;26;2602308.0;308.8333333333333
2602407.0;2017;PE;26;2602407.0;113.475
2602506.0;2017;PE;26;2602506.0;198.30434782608697
2602605.0;2017;PE;26;2602605.0;318.51724137931035
2602704.0;2017;PE;26;2602704.0;197.1904761904762
2602803.0;2017;PE;26;2602803.0;152.58474576271186
2602902.0;2017;PE;26;2602902.0;406.56666666666666
2603009.0;2017;PE;26;2603009.0;217.475
2603108.0;2017;PE;26;2603108.0;183.85185185185185
2603207.0;2017;PE;26;2603207.0;217.72549019607843
2603306.0;2017;PE;26;2603306.0;192.53846153846155
2603405.0;2017;PE;26;2603405.0;115.6
2603454.0;2017;PE;26;2603454.0;637.1698113207547
2603504.0;2017;PE;26;2603504.0;361.1578947368421
2603603.0;2017;PE;26;2603603.0;324.25
2603702.0;2017;PE;26;2603702.0;262.1923076923077
2603801.0;2017;PE;26;2603801.0;148.64406779661016
2603900.0;2017;PE;26;2603900.0;313.3243243243243
2603926.0;2017;PE;26;2603926.0;115.34545454545454
2604007.0;2017;PE;26;2604007.0;525.5853658536586
2604106.0;2017;PE;26;2604106.0;454.16483516483515
2604155.0;2017;PE;26;2604155.0;268.3030303030303
2604205.0;2017;PE;26;2604205.0;349.2173913043478
2604304.0;2017;PE;26;2604304.0;225.89285714285714
2604403.0;2017;PE;26;2604403.0;331.0
2604502.0;2017;PE;26;2604502.0;282.4054054054054
2604601.0;2017;PE;26;2604601.0;366.2105263157895
2604700.0;2017;PE;26;2604700.0;164.1304347826087
2604809.0;2017;PE;26;2604809.0;215.68965517241378
2604908.0;2017;PE;26;2604908.0;95.08333333333333
2605004.0;2017;PE;26;2605004.0;215.9047619047619
2605103.0;2017;PE;26;2605103.0;194.17073170731706
2605152.0;2017;PE;26;2605152.0;94.17045454545455
2605202.0;2017;PE;26;2605202.0;258.27027027027026
2605301.0;2017;PE;26;2605301.0;151.56603773584905
2605400.0;2017;PE;26;2605400.0;260.39285714285717
2605459.0;2017;PE;26;2605459.0;1231.5
2605509.0;2017;PE;26;2605509.0;225.23529411764707
2605608.0;2017;PE;26;2605608.0;139.2537313432836
