;COD_MUNIC_IBGE;ANO_CENSO;SIGLA;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE;NM_MUN_2017
0;2400109.0;2017;RN;290.7916666666667;ACARI
1;2400208.0;2017;RN;218.96296296296296;AÇU
2;2400307.0;2017;RN;281.9047619047619;AFONSO BEZERRA
3;2400406.0;2017;RN;144.23076923076923;ÁGUA NOVA
4;2400505.0;2017;RN;85.39189189189189;ALEXANDRIA
5;2400604.0;2017;RN;110.3913043478261;ALMINO AFONSO
6;2400703.0;2017;RN;314.77272727272725;ALTO DO RODRIGUES
7;2400802.0;2017;RN;242.27272727272728;ANGICOS
8;2400901.0;2017;RN;65.04166666666667;ANTÔNIO MARTINS
9;2401008.0;2017;RN;144.85714285714286;APODI
10;2401107.0;2017;RN;284.2448979591837;AREIA BRANCA
11;2401206.0;2017;RN;354.94736842105266;ARÊS
12;2401305.0;2017;RN;136.76190476190476;AUGUSTO SEVERO
13;2401404.0;2017;RN;351.6666666666667;BAÍA FORMOSA
14;2401453.0;2017;RN;255.2093023255814;BARAÚNA
15;2401503.0;2017;RN;204.0625;BARCELONA
16;2401602.0;2017;RN;116.04166666666667;BENTO FERNANDES
17;2401651.0;2017;RN;145.78947368421052;BODÓ
18;2401701.0;2017;RN;236.25;BOM JESUS
19;2401800.0;2017;RN;260.1818181818182;BREJINHO
20;2401859.0;2017;RN;283.9;CAIÇARA DO NORTE
21;2401909.0;2017;RN;143.0;CAIÇARA DO RIO DO VENTO
22;2402006.0;2017;RN;373.9759036144578;CAICÓ
23;2402105.0;2017;RN;249.42307692307693;CAMPO REDONDO
24;2402204.0;2017;RN;492.5;CANGUARETAMA
25;2402303.0;2017;RN;137.9156626506024;CARAÚBAS
26;2402402.0;2017;RN;283.3125;CARNAÚBA DOS DANTAS
27;2402501.0;2017;RN;140.7;CARNAUBAIS
28;2402600.0;2017;RN;384.38157894736844;CEARÁ-MIRIM
29;2402709.0;2017;RN;154.7058823529412;CERRO CORÁ
30;2402808.0;2017;RN;195.1764705882353;CORONEL EZEQUIEL
