|CO_MUNICIPIO|ANO_CENSO|NUM_COMP_ALUNOS_POR_CIDADE|IOEB
0|1100015|2015.0|76.0|4.6
1|1100023|2015.0|832.0|4.4
2|1100031|2015.0|52.0|4.8
3|1100049|2015.0|808.0|4.7
4|1100056|2015.0|144.0|4.7
5|1100064|2015.0|327.0|4.7
6|1100072|2015.0|123.0|4.5
7|1100080|2015.0|98.0|4.0
8|1100098|2015.0|286.0|4.9
9|1100106|2015.0|332.0|3.7
10|1100114|2015.0|334.0|4.3
11|1100122|2015.0|1154.0|4.6
12|1100130|2015.0|230.0|4.0
13|1100148|2015.0|87.0|4.9
14|1100155|2015.0|300.0|4.7
15|1100189|2015.0|293.0|4.7
16|1100205|2015.0|2954.0|3.9
17|1100254|2015.0|190.0|4.7
18|1100262|2015.0|18.0|4.1
19|1100288|2015.0|346.0|4.6
20|1100296|2015.0|32.0|4.6
21|1100304|2015.0|659.0|4.7
22|1100320|2015.0|104.0|4.6
23|1100338|2015.0|67.0|3.8
24|1100346|2015.0|78.0|4.7
25|1100379|2015.0|23.0|4.6
26|1100403|2015.0|145.0|3.9
27|1100452|2015.0|197.0|4.3
28|1100502|2015.0|70.0|4.7
29|1100601|2015.0|60.0|4.5
30|1100700|2015.0|51.0|4.0
31|1100809|2015.0|40.0|3.6
32|1100908|2015.0|26.0|0.0
33|1100924|2015.0|105.0|4.3
34|1100940|2015.0|44.0|3.8
35|1101005|2015.0|26.0|4.1
36|1101104|2015.0|25.0|3.4
37|1101203|2015.0|69.0|4.7
38|1101302|2015.0|123.0|5.0
39|1101401|2015.0|86.0|4.3
40|1101435|2015.0|40.0|4.4
41|1101450|2015.0|10.0|4.1
42|1101468|2015.0|17.0|4.4
43|1101476|2015.0|43.0|4.5
44|1101484|2015.0|51.0|4.7
45|1101492|2015.0|87.0|4.2
46|1101500|2015.0|89.0|4.4
47|1101559|2015.0|11.0|4.9
48|1101609|2015.0|43.0|4.5
49|1101708|2015.0|50.0|4.6
50|1101757|2015.0|58.0|4.4
51|1101807|2015.0|75.0|4.5
52|1200013|2015.0|44.0|4.4
53|1200054|2015.0|6.0|3.9
54|1200104|2015.0|157.0|4.4
55|1200138|2015.0|58.0|3.9
56|1200179|2015.0|50.0|3.7
57|1200203|2015.0|726.0|4.4
58|1200252|2015.0|57.0|4.2
59|1200302|2015.0|163.0|4.1
60|1200328|2015.0|15.0|3.2
61|1200336|2015.0|113.0|3.6
62|1200344|2015.0|46.0|3.7
63|1200351|2015.0|20.0|0.0
64|1200385|2015.0|123.0|4.0
65|1200393|2015.0|28.0|3.1
66|1200401|2015.0|3058.0|4.6
67|1200427|2015.0|81.0|3.7
68|1200435|2015.0|69.0|3.1
69|1200450|2015.0|161.0|4.4
70|1200500|2015.0|273.0|3.9
71|1200609|2015.0|190.0|4.1
72|1200708|2015.0|91.0|3.9
73|1200807|2015.0|44.0|3.9
74|1300029|2015.0|118.0|0.0
75|1300060|2015.0|70.0|3.4
76|1300086|2015.0|105.0|3.9
77|1300102|2015.0|111.0|3.7
78|1300144|2015.0|40.0|4.2
79|1300201|2015.0|64.0|3.0
80|1300300|2015.0|203.0|3.4
81|1300409|2015.0|75.0|3.6
82|1300508|2015.0|218.0|3.3
83|1300607|2015.0|201.0|3.5
84|1300631|2015.0|135.0|3.5
85|1300680|2015.0|89.0|3.5
86|1300706|2015.0|113.0|4.3
87|1300805|2015.0|223.0|3.4
88|1300839|2015.0|62.0|3.3
89|1300904|2015.0|52.0|3.2
90|1301001|2015.0|275.0|4.2
91|1301100|2015.0|183.0|3.5
92|1301159|2015.0|167.0|3.4
93|1301209|2015.0|380.0|3.4
94|1301308|2015.0|311.0|3.5
95|1301407|2015.0|236.0|4.1
96|1301506|2015.0|74.0|3.8
97|1301605|2015.0|69.0|3.1
98|1301654|2015.0|45.0|3.8
99|1301704|2015.0|398.0|3.9
100|1301803|2015.0|53.0|3.6
101|1301852|2015.0|160.0|3.2
102|1301902|2015.0|531.0|3.6
103|1301951|2015.0|78.0|3.6
104|1302009|2015.0|14.0|4.1
105|1302108|2015.0|38.0|3.3
106|1302207|2015.0|57.0|3.5
107|1302306|2015.0|78.0|3.3
108|1302405|2015.0|259.0|3.7
109|1302504|2015.0|549.0|3.9
110|1302553|2015.0|120.0|3.4
111|1302603|2015.0|13011.0|4.1
112|1302702|2015.0|316.0|3.9
113|1302801|2015.0|52.0|2.9
114|1302900|2015.0|348.0|3.4
115|1303007|2015.0|82.0|3.7
116|1303106|2015.0|331.0|3.7
117|1303205|2015.0|141.0|4.1
118|1303304|2015.0|59.0|4.0
119|1303403|2015.0|968.0|4.1
120|1303502|2015.0|49.0|3.3
121|1303536|2015.0|264.0|3.8
122|1303569|2015.0|80.0|3.4
123|1303601|2015.0|70.0|3.5
124|1303700|2015.0|64.0|3.1
125|1303809|2015.0|190.0|3.4
126|1303908|2015.0|149.0|2.9
127|1303957|2015.0|61.0|3.7
128|1304005|2015.0|74.0|3.4
129|1304062|2015.0|273.0|3.2
130|1304104|2015.0|50.0|3.6
131|1304203|2015.0|505.0|3.6
132|1304237|2015.0|36.0|3.3
133|1304260|2015.0|92.0|2.7
134|1304302|2015.0|117.0|3.7
135|1304401|2015.0|106.0|3.6
136|1400027|2015.0|38.0|3.2
137|1400050|2015.0|116.0|3.3
138|1400100|2015.0|3182.0|4.3
139|1400159|2015.0|86.0|2.9
140|1400175|2015.0|429.0|3.6
141|1400209|2015.0|125.0|3.1
142|1400233|2015.0|89.0|3.9
143|1400282|2015.0|62.0|3.2
144|1400308|2015.0|86.0|3.8
145|1400407|2015.0|68.0|2.8
146|1400456|2015.0|36.0|3.2
147|1400472|2015.0|72.0|3.5
148|1400506|2015.0|33.0|3.7
149|1400605|2015.0|57.0|3.5
150|1400704|2015.0|6.0|0.0
151|1500107|2015.0|1150.0|3.6
152|1500131|2015.0|11.0|3.6
153|1500206|2015.0|163.0|2.9
154|1500305|2015.0|62.0|3.1
155|1500347|2015.0|37.0|3.0
156|1500404|2015.0|359.0|3.2
157|1500503|2015.0|244.0|2.6
158|1500602|2015.0|738.0|4.0
159|1500701|2015.0|12.0|2.8
160|1500800|2015.0|1784.0|3.6
161|1500859|2015.0|130.0|2.8
162|1500909|2015.0|462.0|3.1
163|1500958|2015.0|15.0|2.9
164|1501006|2015.0|146.0|2.8
165|1501105|2015.0|35.0|2.9
166|1501204|2015.0|32.0|3.0
167|1501253|2015.0|13.0|3.1
168|1501303|2015.0|457.0|3.2
169|1501402|2015.0|5881.0|3.5
170|1501451|2015.0|78.0|3.6
171|1501501|2015.0|284.0|3.6
172|1501576|2015.0|62.0|3.6
173|1501600|2015.0|86.0|3.1
174|1501709|2015.0|1058.0|3.3
175|1501725|2015.0|93.0|3.8
176|1501758|2015.0|75.0|3.1
177|1501782|2015.0|351.0|3.2
178|1501808|2015.0|539.0|3.1
179|1501907|2015.0|154.0|3.0
180|1501956|2015.0|53.0|3.6
181|1502004|2015.0|56.0|3.2
